timestamp,temperature_c,occupancy_flag,is_weekend,is_grid_stress_window,voltage_v,current_a,active_power_kw,reactive_power_kvar,power_factor,kwh_interval,monthly_cum_kwh,energy_charge_running_inr,fixed_charge_for_month_inr,duty_running_inr,gt_hvac_kw,gt_hvac_aging_factor,gt_lighting_kw,gt_fridge_kw,gt_water_heater_kw,gt_plug_loads_kw,anomaly_flag,waste_event_flag,anomaly_type,addon_thd_percent,addon_current_leakage_ma,addon_neutral_ground_v,addon_voltage_fault_v_delta,addon_fault_flag,addon_fault_type
2026-03-01 00:00:00,22.96,1,1,0,230.33,3.89,0.83,0.339,0.926,0.2075,0.21,0.67,40,0.07,0.0,1.0,0.346,0.02,0.0,0.464,0,0,Normal,2.31,3.59,0.21,0.0,0,None
2026-03-01 00:15:00,22.28,1,1,0,229.83,3.63,0.77,0.323,0.922,0.1925,0.4,1.3,40,0.13,0.0,1.0,0.356,0.123,0.0,0.291,0,0,Normal,2.65,1.6,0.7,0.0,0,None
2026-03-01 00:30:00,23.18,1,1,0,228.74,3.37,0.726,0.261,0.941,0.1815,0.58,1.89,40,0.19,0.0,1.0,0.352,0.113,0.0,0.261,0,0,Normal,3.01,3.44,0.8,0.0,0,None
2026-03-01 00:45:00,23.27,1,1,0,232.19,3.16,0.694,0.24,0.945,0.1735,0.76,2.45,40,0.25,0.0,1.0,0.354,0.02,0.0,0.32,0,0,Normal,4.42,3.04,0.96,0.0,0,None
2026-03-01 01:00:00,21.23,1,1,0,230.5,3.06,0.65,0.275,0.921,0.1625,0.92,2.98,40,0.3,0.0,1.0,0.329,0.02,0.0,0.301,0,0,Normal,2.41,1.77,0.97,0.0,0,None
2026-03-01 01:15:00,21.55,1,1,0,232.51,3.27,0.716,0.254,0.942,0.179,1.1,3.56,40,0.36,0.0,1.0,0.344,0.02,0.0,0.352,0,0,Normal,4.14,3.92,1.0,0.0,0,None
2026-03-01 01:30:00,22.27,1,1,0,231.78,3.36,0.734,0.257,0.944,0.1835,1.28,4.16,40,0.42,0.0,1.0,0.343,0.02,0.0,0.371,0,0,Normal,2.41,3.25,0.27,0.0,0,None
2026-03-01 01:45:00,22.05,1,1,0,232.71,3.93,0.848,0.342,0.928,0.212,1.49,4.85,40,0.48,0.0,1.0,0.349,0.108,0.0,0.391,0,0,Normal,2.84,2.66,0.55,0.0,0,None
2026-03-01 02:00:00,21.99,1,1,0,232.44,3.51,0.744,0.333,0.913,0.186,1.68,5.45,40,0.55,0.0,1.0,0.341,0.119,0.0,0.284,0,0,Normal,3.69,1.52,0.43,0.0,0,None
2026-03-01 02:15:00,21.57,1,1,0,231.3,3.85,0.832,0.319,0.934,0.208,1.89,6.13,40,0.61,0.0,1.0,0.355,0.02,0.0,0.457,0,0,Normal,3.54,2.84,0.8,0.0,0,None
2026-03-01 02:30:00,22.44,1,1,0,230.03,2.98,0.637,0.251,0.93,0.1592,2.05,6.65,40,0.66,0.0,1.0,0.339,0.02,0.0,0.278,0,0,Normal,4.39,2.54,0.56,0.0,0,None
2026-03-01 02:45:00,22.39,1,1,0,233.69,3.21,0.711,0.241,0.947,0.1778,2.22,7.22,40,0.72,0.0,1.0,0.34,0.02,0.0,0.351,0,0,Normal,3.03,2.49,0.37,0.0,0,None
2026-03-01 03:00:00,22.24,1,1,0,232.63,4.07,0.887,0.328,0.938,0.2218,2.44,7.95,40,0.79,0.0,1.0,0.354,0.02,0.0,0.513,0,0,Normal,4.35,1.39,0.89,0.0,0,None
2026-03-01 03:15:00,22.77,1,1,0,232.22,3.92,0.84,0.352,0.922,0.21,2.65,8.63,40,0.86,0.0,1.0,0.357,0.133,0.0,0.35,0,0,Normal,4.32,1.01,0.83,0.0,0,None
2026-03-01 03:30:00,22.44,1,1,0,232.44,3.94,0.876,0.265,0.957,0.219,2.87,9.34,40,0.93,0.0,1.001,0.349,0.112,0.0,0.415,0,0,Normal,3.79,1.69,0.74,0.0,0,None
2026-03-01 03:45:00,21.77,1,1,0,231.27,3.71,0.787,0.341,0.918,0.1967,3.07,9.98,40,1.0,0.0,1.001,0.344,0.02,0.0,0.423,0,0,Normal,2.05,3.9,0.21,0.0,0,None
2026-03-01 04:00:00,22.99,1,1,0,233.02,2.88,0.635,0.22,0.945,0.1588,3.23,10.5,40,1.05,0.0,1.001,0.355,0.02,0.0,0.26,0,0,Normal,3.99,3.71,0.56,0.0,0,None
2026-03-01 04:15:00,22.32,1,1,0,231.99,2.72,0.598,0.198,0.949,0.1495,3.38,10.98,40,1.1,0.0,1.001,0.337,0.02,0.0,0.241,0,0,Normal,4.25,3.56,0.55,0.0,0,None
2026-03-01 04:30:00,23.24,1,1,0,233.71,3.76,0.818,0.322,0.93,0.2045,3.58,11.65,40,1.16,0.0,1.001,0.361,0.02,0.0,0.437,0,0,Normal,3.31,1.19,0.83,0.0,0,None
2026-03-01 04:45:00,22.78,1,1,0,234.55,4.59,0.951,0.504,0.884,0.2378,3.82,12.42,40,1.24,0.0,1.001,0.356,0.122,0.0,0.473,0,0,Normal,2.49,3.43,0.4,0.0,0,None
2026-03-01 05:00:00,23.66,1,1,0,235.76,4.59,0.957,0.505,0.884,0.2392,4.06,13.2,40,1.32,0.0,1.001,0.36,0.108,0.0,0.489,0,0,Normal,2.45,3.09,0.32,0.0,0,None
2026-03-01 05:15:00,23.42,1,1,0,236.42,3.44,0.723,0.371,0.89,0.1808,4.24,13.78,40,1.38,0.0,1.001,0.338,0.02,0.0,0.365,0,0,Normal,4.11,1.27,0.79,0.0,0,None
2026-03-01 05:30:00,24.37,1,1,0,235.29,3.65,0.803,0.302,0.936,0.2007,4.44,14.44,40,1.44,0.0,1.001,0.368,0.02,0.0,0.415,0,0,Normal,2.22,3.8,0.76,0.0,0,None
2026-03-01 05:45:00,23.68,1,1,0,235.09,3.78,0.786,0.417,0.884,0.1965,4.64,15.07,40,1.51,0.0,1.001,0.333,0.02,0.0,0.433,0,0,Normal,3.37,2.49,0.72,0.0,0,None
2026-03-01 06:00:00,24.79,1,1,0,233.76,9.36,2.049,0.77,0.936,0.5123,5.15,16.74,40,1.67,0.0,1.001,0.346,0.02,1.314,0.369,0,0,Normal,2.51,1.44,0.99,0.0,0,None
2026-03-01 06:15:00,24.82,1,1,0,232.89,11.25,2.393,1.065,0.914,0.5982,5.75,18.68,40,1.87,0.0,1.001,0.338,0.115,1.597,0.343,0,0,Normal,2.75,2.47,0.85,0.0,0,None
2026-03-01 06:30:00,25.27,1,1,0,234.78,10.42,2.225,1.017,0.91,0.5562,6.3,20.49,40,2.05,0.0,1.001,0.36,0.119,1.219,0.527,0,0,Normal,4.44,3.71,0.62,0.0,0,None
2026-03-01 06:45:00,25.18,1,1,0,234.76,11.77,2.465,1.247,0.892,0.6162,6.92,22.49,40,2.25,0.0,1.001,0.361,0.02,1.658,0.426,0,0,Normal,2.69,2.13,0.24,0.0,0,None
2026-03-01 07:00:00,26.65,1,1,0,235.95,12.23,2.564,1.324,0.889,0.641,7.56,24.58,40,2.46,0.461,1.001,0.037,0.02,1.707,0.339,0,0,Normal,3.71,3.31,0.74,0.0,0,None
2026-03-01 07:15:00,26.66,1,1,0,232.9,10.4,2.156,1.104,0.89,0.539,8.1,26.33,40,2.63,0.362,1.001,0.063,0.02,1.311,0.4,0,0,Normal,3.92,3.26,0.39,0.0,0,None
2026-03-01 07:30:00,27.52,1,1,0,232.57,13.1,2.87,1.02,0.942,0.7175,8.82,28.66,40,2.87,0.837,1.001,0.056,0.02,1.639,0.318,0,0,Normal,2.72,3.75,0.97,0.0,0,None
2026-03-01 07:45:00,26.24,1,1,0,234.15,10.66,2.232,1.119,0.894,0.558,9.38,30.47,40,3.05,0.316,1.001,0.055,0.122,1.412,0.327,0,0,Normal,2.37,2.47,0.43,0.0,0,None
2026-03-01 08:00:00,27.74,1,1,0,232.64,15.13,3.297,1.232,0.937,0.8242,10.2,33.15,40,3.32,0.838,1.001,0.038,0.118,1.878,0.425,0,0,Normal,3.93,2.59,0.5,0.0,0,None
2026-03-01 08:15:00,27.59,1,1,0,234.41,14.37,3.153,1.184,0.936,0.7882,10.99,35.72,40,3.57,0.933,1.001,0.06,0.02,1.801,0.339,0,0,Normal,3.13,2.7,0.7,0.0,0,None
2026-03-01 08:30:00,28.31,1,1,0,231.51,13.42,2.863,1.204,0.922,0.7158,11.7,38.04,40,3.8,1.064,1.001,0.056,0.02,1.344,0.379,0,0,Normal,2.72,2.1,0.87,0.0,0,None
2026-03-01 08:45:00,28.56,1,1,0,231.91,12.89,2.86,0.869,0.957,0.715,12.42,40.36,40,4.04,1.142,1.001,0.035,0.02,1.329,0.334,0,0,Normal,2.53,1.2,0.24,0.0,0,None
2026-03-01 09:00:00,29.5,1,1,0,235.12,9.32,1.993,0.909,0.91,0.4982,12.92,41.98,40,4.2,1.512,1.001,0.073,0.02,0.0,0.388,0,0,Normal,4.46,2.76,0.31,0.0,0,None
2026-03-01 09:15:00,29.13,1,1,0,232.94,9.82,2.02,1.075,0.883,0.505,13.42,43.63,40,4.36,1.455,1.001,0.047,0.128,0.0,0.39,0,0,Normal,3.62,3.95,0.77,0.0,0,None
2026-03-01 09:30:00,29.14,1,1,0,231.55,8.87,1.889,0.807,0.92,0.4722,13.9,45.16,40,4.52,1.475,1.001,0.053,0.123,0.0,0.238,0,0,Normal,3.31,1.35,0.96,0.0,0,None
2026-03-01 09:45:00,29.88,1,1,0,233.27,10.83,2.264,1.121,0.896,0.566,14.46,47.0,40,4.7,1.777,1.001,0.042,0.02,0.0,0.425,0,0,Normal,2.29,3.03,0.2,0.0,0,None
2026-03-01 10:00:00,31.37,1,1,0,232.91,13.45,2.787,1.428,0.89,0.6968,15.16,49.26,40,4.93,2.335,1.002,0.062,0.02,0.0,0.37,0,0,Normal,4.28,1.45,0.74,0.0,0,None
2026-03-01 10:15:00,31.27,1,1,0,230.59,12.39,2.74,0.806,0.959,0.685,15.84,51.49,40,5.15,2.271,1.002,0.06,0.02,0.0,0.389,0,0,Normal,2.83,2.42,0.9,0.0,0,None
2026-03-01 10:30:00,30.67,1,1,0,230.63,12.21,2.559,1.176,0.909,0.6398,16.48,53.57,40,5.36,2.114,1.002,0.036,0.02,0.0,0.389,0,0,Normal,3.98,1.98,0.65,0.0,0,None
2026-03-01 10:45:00,31.12,1,1,0,230.8,13.05,2.817,1.065,0.935,0.7042,17.19,55.86,40,5.59,2.207,1.002,0.046,0.121,0.0,0.443,0,0,Normal,4.26,2.02,0.94,0.0,0,None
2026-03-01 11:00:00,32.3,0,1,0,232.79,1.65,0.345,0.17,0.897,0.0862,17.27,56.14,40,5.61,0.0,1.002,0.047,0.12,0.0,0.178,0,0,Normal,2.51,1.48,0.77,0.0,0,None
2026-03-01 11:15:00,32.35,0,1,0,232.13,1.31,0.267,0.143,0.881,0.0668,17.34,56.36,40,5.64,0.0,1.002,0.055,0.02,0.0,0.192,0,0,Normal,4.44,3.03,0.25,0.0,0,None
